name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime,ROI
Diner,R,Comedy,1982,"May 21, 1982 (United States)",7.1,19000.0,Barry Levinson,Barry Levinson,Steve Guttenberg,United States,5000000.0,14099953.0,Metro-Goldwyn-Mayer (MGM),110.0,1.8199906
The Best Little Whorehouse in Texas,R,Comedy,1982,"July 23, 1982 (United States)",6.0,10000.0,Colin Higgins,Larry L. King,Burt Reynolds,United States,35000000.0,69701637.0,Universal Pictures,114.0,0.9914753428571429
The Year of Living Dangerously,PG,Drama,1982,"February 18, 1983 (United States)",7.1,20000.0,Peter Weir,David Williamson,Mel Gibson,Australia,13000000.0,10278575.0,Metro-Goldwyn-Mayer (MGM),115.0,-0.20934038461538462
The Last Unicorn,G,Animation,1982,"November 19, 1982 (United States)",7.4,25000.0,Jules Bass,Peter S. Beagle,Jeff Bridges,United Kingdom,3500000.0,6455330.0,Rankin/Bass Productions,92.0,0.84438
The Entity,R,Drama,1982,"February 4, 1983 (United States)",6.7,15000.0,Sidney J. Furie,Frank De Felitta,Barbara Hershey,United States,9000000.0,13277558.0,American Cinema Productions,125.0,0.4752842222222222
Airplane II: the Sequel,PG,Comedy,1982,"December 10, 1982 (United States)",6.2,50000.0,Ken Finkleman,Ken Finkleman,Robert Hays,United States,15000000.0,27150534.0,Paramount Pictures,85.0,0.8100356
The Toy,PG,Comedy,1982,"December 10, 1982 (United States)",5.8,11000.0,Richard Donner,Francis Veber,Richard Pryor,United States,17000000.0,47118057.0,Columbia Pictures,102.0,1.7716504117647058
The House on Sorority Row,R,Horror,1982,"July 28, 1983 (South Korea)",6.0,7800.0,Mark Rosman,Mark Rosman,Kate McNeil,United States,425000.0,10604986.0,VAE Productions,91.0,23.952908235294117
Evil Under the Sun,PG,Crime,1982,"March 5, 1982 (United States)",7.1,15000.0,Guy Hamilton,Anthony Shaffer,Peter Ustinov,United Kingdom,10000000.0,6110670.0,EMI Films,117.0,-0.388933
Death Wish II,R,Action,1982,"February 19, 1982 (United States)",6.0,15000.0,Michael Winner,David Engelbach,Charles Bronson,United States,2000000.0,16100000.0,Golan-Globus Productions,89.0,7.05
Silent Rage,R,Action,1982,"April 2, 1982 (United States)",5.5,5300.0,Michael Miller,Joseph Fraley,Chuck Norris,United States,4500000.0,10490791.0,Columbia Pictures,103.0,1.331286888888889
Megaforce,PG,Action,1982,"June 25, 1982 (United States)",3.7,3400.0,Hal Needham,Bob Kachler,Barry Bostwick,Hong Kong,20000000.0,5675599.0,Golden Harvest Company,99.0,-0.71622005
Personal Best,R,Drama,1982,"June 26, 1982 (Japan)",6.3,2600.0,Robert Towne,Robert Towne,Mariel Hemingway,United States,16000000.0,5672311.0,The Geffen Company,128.0,-0.6454805625
Dead Men Don't Wear Plaid,PG,Comedy,1982,"May 21, 1982 (United States)",6.9,21000.0,Carl Reiner,Carl Reiner,Steve Martin,United States,9000000.0,18196170.0,Aspen Film Society,88.0,1.0217966666666667
Amityville II: The Possession,R,Horror,1982,"September 24, 1982 (United States)",5.5,11000.0,Damiano Damiani,Tommy Lee Wallace,James Olson,Mexico,5000000.0,12534817.0,Dino De Laurentiis Company,104.0,1.5069634
Missing,PG,Biography,1982,"March 12, 1982 (United States)",7.7,19000.0,Costa-Gavras,Costa-Gavras,Jack Lemmon,United States,9500000.0,14000000.0,PolyGram Filmed Entertainment,122.0,0.47368421052631576
Cannery Row,PG,Comedy,1982,"February 12, 1982 (United States)",6.7,3500.0,David S. Ward,John Steinbeck,Nick Nolte,United States,11300000.0,5301539.0,Chai Productions,120.0,-0.5308372566371682
Tempest,PG,Comedy,1982,"September 24, 1982 (United States)",6.5,2200.0,Paul Mazursky,Paul Mazursky,John Cassavetes,United States,13000000.0,5005245.0,Columbia Pictures,140.0,-0.6149811538461538
Still of the Night,PG,Crime,1982,"November 19, 1982 (United States)",6.1,4300.0,Robert Benton,Robert Benton,Roy Scheider,United States,10000000.0,5979947.0,United Artists,93.0,-0.4020053
Parasite,R,Horror,1982,"March 12, 1982 (United States)",3.9,2300.0,Charles Band,Alan J. Adler,Robert Glaudini,United States,800000.0,2270.0,Embassy Pictures,85.0,-0.9971625
Honkytonk Man,PG,Comedy,1982,"December 15, 1982 (United States)",6.6,8200.0,Clint Eastwood,Clancy Carlile,Clint Eastwood,United States,2000000.0,4484991.0,The Malpaso Company,122.0,1.2424955
"Come Back to the 5 & Dime Jimmy Dean, Jimmy Dean",PG,Comedy,1982,"April 6, 1983 (France)",7.2,4200.0,Robert Altman,Ed Graczyk,Cher,United States,850000.0,840958.0,Sandcastle 5 Productions,109.0,-0.01063764705882353
The Final Option,R,Action,1982,"September 16, 1983 (United States)",6.4,3000.0,Ian Sharp,George Markstein,Lewis Collins,Switzerland,6000000.0,2666873.0,Richmond Light Horse Productions,125.0,-0.5555211666666666
Trail of the Pink Panther,PG,Comedy,1982,"December 17, 1982 (United States)",5.0,9800.0,Blake Edwards,Blake Edwards,Peter Sellers,United Kingdom,6000000.0,9056073.0,United Artists,96.0,0.5093455
The Border,R,Crime,1982,"February 12, 1982 (United States)",6.4,6100.0,Tony Richardson,Deric Washburn,Jack Nicholson,United States,22000000.0,6118683.0,Efer Productions,108.0,-0.7218780454545455
Best Friends,PG,Comedy,1982,"December 17, 1982 (United States)",5.5,2700.0,Norman Jewison,Valerie Curtin,Burt Reynolds,United States,15000000.0,36821203.0,Warner Bros.,116.0,1.4547468666666667
Shoot the Moon,R,Drama,1982,"February 19, 1982 (United States)",6.9,2500.0,Alan Parker,Bo Goldman,Albert Finney,United States,12000000.0,9217530.0,Metro-Goldwyn-Mayer (MGM),124.0,-0.2318725
Lookin' to Get Out,R,Comedy,1982,"June 30, 1983 (Australia)",5.1,684.0,Hal Ashby,Al Schwartz,Jon Voight,United States,17000000.0,946461.0,Lorimar Productions,105.0,-0.9443258235294117
Barbarosa,PG,Western,1982,"February 19, 1982 (United States)",6.4,1500.0,Fred Schepisi,William D. Wittliff,Willie Nelson,United States,11000000.0,1736123.0,Incorporated Television Company (ITC),90.0,-0.8421706363636363
The Soldier,R,Action,1982,"August 27, 1982 (United States)",5.3,1100.0,James Glickenhaus,James Glickenhaus,Ken Wahl,United States,4000000.0,6328816.0,James Glickenhaus,96.0,0.582204
Wrong Is Right,R,Comedy,1982,"May 14, 1982 (United States)",5.7,1800.0,Richard Brooks,Charles McCarry,Sean Connery,United States,10000000.0,3583513.0,Columbia Pictures,117.0,-0.6416487
Jekyll and Hyde... Together Again,R,Sci-Fi,1982,"October 1, 1982 (United States)",6.2,1100.0,Jerry Belson,Monica Mcgowan Johnson,Mark Blankfield,United States,5000000.0,3792188.0,Paramount Pictures,87.0,-0.2415624
Forced Vengeance,R,Action,1982,"July 30, 1982 (United States)",5.6,2900.0,James Fargo,Franklin Thompson,Chuck Norris,United States,5000000.0,6660333.0,Metro-Goldwyn-Mayer (MGM),90.0,0.3320666
Night Crossing,PG,Drama,1982,"February 5, 1982 (United States)",6.5,1300.0,Delbert Mann,John McGreevey,John Hurt,United Kingdom,10000000.0,8000000.0,Walt Disney Productions,107.0,-0.2
Things Are Tough All Over,R,Action,1982,"August 4, 1982 (United States)",6.0,3100.0,Thomas K. Avildsen,Cheech Marin,Toni Attell,United States,7000000.0,21134374.0,C & C Brown Production,90.0,2.0191962857142856
Jinxed!,R,Comedy,1982,"October 22, 1982 (United States)",4.7,984.0,Don Siegel,Frank D. Gilroy,Bette Midler,United States,13400000.0,2869638.0,Herb Jaffe,103.0,-0.7858479104477611
Five Days One Summer,PG,Drama,1982,1982 (Japan),6.1,1000.0,Fred Zinnemann,Michael Austin,Sean Connery,United States,15000000.0,199078.0,Cable and Wireless Finance,108.0,-0.9867281333333333
Partners,R,Comedy,1982,"April 30, 1982 (United States)",5.3,1200.0,James Burrows,Francis Veber,Ryan O'Neal,United States,6000000.0,6062898.0,Paramount Pictures,93.0,0.010483
"Yes, Giorgio",PG,Comedy,1982,"September 24, 1982 (United States)",3.9,653.0,Franklin J. Schaffner,Anne Piper,Luciano Pavarotti,United States,19000000.0,2279543.0,Metro-Goldwyn-Mayer (MGM),110.0,-0.8800240526315789
Scarface,R,Crime,1983,"December 9, 1983 (United States)",8.3,766000.0,Brian De Palma,Oliver Stone,Al Pacino,United States,25000000.0,65884703.0,Universal Pictures,170.0,1.63538812
The Outsiders,PG,Crime,1983,"March 25, 1983 (United States)",7.1,78000.0,Francis Ford Coppola,Kathleen Rowell,C. Thomas Howell,United States,10000000.0,25697647.0,Zoetrope Studios,91.0,1.5697647
Star Wars: Episode VI - Return of the Jedi,PG,Action,1983,"May 25, 1983 (United States)",8.3,973000.0,Richard Marquand,Lawrence Kasdan,Mark Hamill,United States,32500000.0,475106177.0,Lucasfilm,131.0,13.6186516
Risky Business,R,Comedy,1983,"August 5, 1983 (United States)",6.8,83000.0,Paul Brickman,Paul Brickman,Tom Cruise,United States,6200000.0,63541777.0,The Geffen Company,99.0,9.24867370967742
National Lampoon's Vacation,R,Adventure,1983,"July 29, 1983 (United States)",7.4,100000.0,Harold Ramis,John Hughes,Chevy Chase,United States,15000000.0,61399552.0,National Lampoon,98.0,3.093303466666667
Trading Places,R,Comedy,1983,"June 8, 1983 (United States)",7.5,141000.0,John Landis,Timothy Harris,Eddie Murphy,United States,15000000.0,90404800.0,Cinema Group Ventures,116.0,5.026986666666667
Superman III,PG,Action,1983,"June 17, 1983 (United States)",5.0,66000.0,Richard Lester,Jerry Siegel,Christopher Reeve,France,39000000.0,59950623.0,Dovemead Films,125.0,0.5371954615384615
The Big Chill,R,Comedy,1983,"September 30, 1983 (United States)",7.2,34000.0,Lawrence Kasdan,Lawrence Kasdan,Tom Berenger,United States,8000000.0,56399659.0,Columbia Pictures,105.0,6.049957375
Staying Alive,PG,Drama,1983,"July 15, 1983 (United States)",4.7,15000.0,Sylvester Stallone,Nik Cohn,John Travolta,United States,22000000.0,64892670.0,Paramount Pictures,93.0,1.9496668181818182
Jaws 3-D,PG,Adventure,1983,"July 22, 1983 (United States)",3.7,41000.0,Joe Alves,Peter Benchley,Dennis Quaid,United States,20500000.0,87987055.0,Universal Pictures,99.0,3.292051463414634
Christine,R,Horror,1983,"December 9, 1983 (United States)",6.7,75000.0,John Carpenter,Stephen King,Keith Gordon,United States,9700000.0,21017849.0,Columbia Pictures,110.0,1.166788556701031
Flashdance,R,Drama,1983,"April 15, 1983 (United States)",6.2,50000.0,Adrian Lyne,Thomas Hedley Jr.,Jennifer Beals,United States,4000000.0,92921203.0,Paramount Pictures,95.0,22.23030075
WarGames,PG,Action,1983,"June 3, 1983 (United States)",7.1,93000.0,John Badham,Lawrence Lasker,Matthew Broderick,United States,12000000.0,79567667.0,United Artists,114.0,5.630638916666666
The Right Stuff,PG,Adventure,1983,"February 17, 1984 (United States)",7.8,57000.0,Philip Kaufman,Philip Kaufman,Sam Shepard,United States,27000000.0,21192315.0,The Ladd Company,193.0,-0.21509944444444445
Krull,PG,Action,1983,"July 29, 1983 (United States)",6.1,31000.0,Peter Yates,Stanford Sherman,Ken Marshall,United Kingdom,47000000.0,16916617.0,Columbia Pictures,121.0,-0.6400719787234043
The Dead Zone,R,Drama,1983,"October 21, 1983 (United States)",7.2,65000.0,David Cronenberg,Jeffrey Boam,Christopher Walken,United States,10000000.0,20766616.0,Dino De Laurentiis Company,103.0,1.0766616
Octopussy,PG,Action,1983,"June 10, 1983 (United States)",6.5,98000.0,John Glen,George MacDonald Fraser,Roger Moore,United Kingdom,27500000.0,67893619.0,United Artists,131.0,1.4688588727272727
Private School,R,Comedy,1983,"July 29, 1983 (United States)",5.3,6100.0,Noel Black,Dan Greenburg,Phoebe Cates,United States,3500000.0,14049540.0,Unity Productions,89.0,3.0141542857142856
Valley Girl,R,Comedy,1983,"April 29, 1983 (United States)",6.4,14000.0,Martha Coolidge,Andrew Lane,Nicolas Cage,United States,350000.0,17343596.0,Atlantic Entertainment Group,99.0,48.553131428571426
Rumble Fish,R,Crime,1983,"October 21, 1983 (United States)",7.2,32000.0,Francis Ford Coppola,S.E. Hinton,Matt Dillon,United States,10000000.0,2494480.0,Zoetrope Studios,94.0,-0.750552
Videodrome,R,Horror,1983,"February 4, 1983 (United States)",7.2,86000.0,David Cronenberg,David Cronenberg,James Woods,Canada,5952000.0,2120439.0,Filmplan International,87.0,-0.6437434475806452
Terms of Endearment,PG,Comedy,1983,"December 9, 1983 (United States)",7.4,57000.0,James L. Brooks,Larry McMurtry,Shirley MacLaine,United States,8000000.0,108423749.0,Paramount Pictures,132.0,12.552968625
Twilight Zone: The Movie,PG,Horror,1983,"June 24, 1983 (United States)",6.5,34000.0,Directors,John Landis,Dan Aykroyd,United States,10000000.0,29450919.0,Amblin Entertainment,101.0,1.9450919
Never Say Never Again,PG,Action,1983,"October 7, 1983 (United States)",6.2,63000.0,Irvin Kershner,Kevin McClory,Sean Connery,United Kingdom,36000000.0,55432841.0,TaliaFilm II Productions,134.0,0.5398011388888889
A Christmas Story,PG,Comedy,1983,"November 18, 1983 (United States)",7.9,134000.0,Bob Clark,Jean Shepherd,Peter Billingsley,United States,3300000.0,20653717.0,Metro-Goldwyn-Mayer (MGM),93.0,5.258702121212121
Cujo,R,Horror,1983,"August 12, 1983 (United States)",6.1,41000.0,Lewis Teague,Stephen King,Dee Wallace,United States,5000000.0,21156152.0,Sunn Classic Pictures,93.0,3.2312304
Sudden Impact,R,Action,1983,"December 9, 1983 (United States)",6.6,42000.0,Clint Eastwood,Harry Julian Fink,Clint Eastwood,United States,22000000.0,67642693.0,Warner Bros.,117.0,2.0746678636363636
Blue Thunder,R,Action,1983,"May 13, 1983 (United States)",6.4,18000.0,John Badham,Dan O'Bannon,Roy Scheider,United States,22000000.0,42313354.0,Columbia Pictures,109.0,0.9233342727272728
Breathless,R,Action,1983,"May 13, 1983 (United States)",5.9,8700.0,Jim McBride,François Truffaut,Richard Gere,United States,7500000.0,19910002.0,Breathless Associates,100.0,1.6546669333333333
Psycho II,R,Crime,1983,"June 3, 1983 (United States)",6.5,25000.0,Richard Franklin,Tom Holland,Anthony Perkins,United States,5000000.0,34725000.0,Universal Pictures,113.0,5.945
Silkwood,R,Biography,1983,"January 27, 1984 (United States)",7.2,19000.0,Mike Nichols,Nora Ephron,Meryl Streep,United States,10000000.0,35615609.0,ABC Motion Pictures,131.0,2.5615609
All the Right Moves,R,Drama,1983,"October 21, 1983 (United States)",5.9,16000.0,Michael Chapman,Michael Kane,Tom Cruise,United States,5600000.0,17233166.0,Lucille Ball Productions,91.0,2.0773510714285712
The Keep,R,Drama,1983,"December 16, 1983 (United States)",5.7,11000.0,Michael Mann,F. Paul Wilson,Scott Glenn,United Kingdom,11000000.0,4218594.0,Paramount Pictures,96.0,-0.6164914545454545
Yentl,PG,Drama,1983,"January 6, 1984 (United States)",6.6,13000.0,Barbra Streisand,Jack Rosenthal,Barbra Streisand,United Kingdom,12000000.0,40218899.0,Ladbroke,133.0,2.351574916666667
Fire and Ice,PG,Animation,1983,"August 26, 1983 (United States)",6.6,10000.0,Ralph Bakshi,Ralph Bakshi,Randy Norton,United States,1200000.0,760883.0,Polyc International BV,81.0,-0.3659308333333333
Yellowbeard,PG,Action,1983,"June 24, 1983 (United States)",6.0,7500.0,Mel Damski,Graham Chapman,Graham Chapman,United Kingdom,6500000.0,4300000.0,Seagoat Films,96.0,-0.3384615384615385
The Meaning of Life,R,Comedy,1983,"March 31, 1983 (United States)",7.5,115000.0,Terry Jones,Graham Chapman,John Cleese,United Kingdom,9000000.0,14949697.0,Celandine Films,107.0,0.6610774444444445
Deathstalker,R,Action,1983,"September 16, 1983 (United States)",4.6,4600.0,James Sbardellati,Howard R. Cohen,Rick Hill,United States,457000.0,11919250.0,Aries Cinematográfica Argentina,80.0,25.081509846827135
Porky's II: The Next Day,R,Comedy,1983,"June 24, 1983 (United States)",5.0,11000.0,Bob Clark,Roger Swaybill,Dan Monahan,Canada,6500000.0,33759266.0,Astral Bellevue Pathé,98.0,4.193733230769231
Something Wicked This Way Comes,PG,Fantasy,1983,"April 29, 1983 (United States)",6.8,8600.0,Jack Clayton,Ray Bradbury,Jason Robards,United States,19000000.0,8400000.0,Walt Disney Productions,95.0,-0.5578947368421052
Star 80,R,Biography,1983,"February 3, 1984 (United States)",6.7,6000.0,Bob Fosse,Teresa Carpenter,Mariel Hemingway,United States,12000000.0,6472990.0,The Ladd Company,103.0,-0.4605841666666667
Gorky Park,R,Crime,1983,"December 16, 1983 (United States)",6.7,13000.0,Michael Apted,Martin Cruz Smith,William Hurt,United States,15000000.0,15856028.0,Eagle Associates.,128.0,0.05706853333333333
Lone Wolf McQuade,PG,Action,1983,"April 15, 1983 (United States)",6.3,11000.0,Steve Carver,B.J. Nelson,Chuck Norris,United States,5000000.0,12232628.0,1818 Productions,107.0,1.4465256
Losin' It,R,Comedy,1983,"April 22, 1983 (United States)",4.9,4200.0,Curtis Hanson,Bill Norton,Tom Cruise,Canada,7000000.0,1246141.0,Tiberius Film Productions,100.0,-0.8219798571428572
Screwballs,R,Comedy,1983,"April 1, 1983 (United States)",4.7,3000.0,Rafal Zielinski,Linda Shayne,Peter Keleghan,Canada,800000.0,2082215.0,Millenium,80.0,1.60276875
Brainstorm,PG,Sci-Fi,1983,"September 30, 1983 (United States)",6.4,11000.0,Douglas Trumbull,Bruce Joel Rubin,Christopher Walken,United States,15000000.0,10219460.0,JF Productions,106.0,-0.3187026666666667
Angel,R,Action,1983,"January 13, 1984 (United States)",5.7,2900.0,Robert Vincent O'Neil,Robert Vincent O'Neil,Cliff Gorman,United States,3000000.0,17488564.0,Adams Apple Film Company,94.0,4.829521333333333
10 to Midnight,R,Crime,1983,"March 11, 1983 (United States)",6.3,7200.0,J. Lee Thompson,William Roberts,Charles Bronson,United States,4520000.0,7175592.0,Cannon Films,101.0,0.5875203539823008
Uncommon Valor,R,Action,1983,"December 16, 1983 (United States)",6.4,9300.0,Ted Kotcheff,Joe Gayton,Gene Hackman,United States,14500000.0,30503151.0,Paramount Pictures,105.0,1.1036655862068965
Mortuary,R,Horror,1983,"September 2, 1983 (United States)",5.2,1900.0,Howard Avedis,Howard Avedis,Mary Beth McDonough,United States,250000.0,4319001.0,Hickmar Productions,93.0,16.276004
Sahara,PG,Adventure,1983,"March 2, 1984 (United States)",5.0,1500.0,Andrew V. McLaglen,Menahem Golan,Brooke Shields,United Kingdom,25000000.0,1402962.0,Cabal Film,111.0,-0.94388152
Two of a Kind,PG,Comedy,1983,"December 16, 1983 (United States)",4.7,3900.0,John Herzfeld,John Herzfeld,John Travolta,United States,14000000.0,23646952.0,Twentieth Century Fox,88.0,0.689068
Chained Heat,R,Action,1983,"May 27, 1983 (United States)",5.0,2100.0,Paul Nicholas,Aaron Butler,Linda Blair,United States,1250000.0,6149983.0,Heat GBR,95.0,3.9199864
Spacehunter: Adventures in the Forbidden Zone,PG,Action,1983,"May 20, 1983 (United States)",5.5,5500.0,Lamont Johnson,Stewart Harding,Peter Strauss,United States,14400000.0,16478265.0,Columbia Pictures,90.0,0.14432395833333334
High Road to China,PG,Adventure,1983,"March 18, 1983 (United States)",6.1,5100.0,Brian G. Hutton,Jon Cleary,Tom Selleck,United States,19000000.0,28445927.0,City Films,105.0,0.49715405263157897
Rock & Rule,PG,Animation,1983,"July 24, 1987 (United States)",6.5,3400.0,Clive Smith,Patrick Loubert,Don Francks,Canada,8000000.0,30379.0,Nelvana,77.0,-0.996202625
Hercules,PG,Adventure,1983,"August 26, 1983 (United States)",4.0,3600.0,Luigi Cozzi,Luigi Cozzi,Lou Ferrigno,Italy,2500000.0,10676194.0,Cannon Films Inc.,98.0,3.2704776
Under Fire,R,Drama,1983,"October 21, 1983 (United States)",7.0,7200.0,Roger Spottiswoode,Ron Shelton,Nick Nolte,United States,9500000.0,5696391.0,Cinema '84,128.0,-0.4003798947368421
